angle (°) - amplitude	amplitude (V) - amplitude	
98.06	2.20168	
98.0575	2.21835	
98.055	2.2321	
98.0525	2.22611	
98.05	2.2198	
98.0475	2.19262	
98.045	2.16657	
98.0425	2.16107	
98.04	2.15606	
98.0375	2.13082	
98.035	2.1258	
98.0325	2.12208	
98.03	2.13955	
98.0275	2.13519	
98.025	2.13114	
98.0225	2.14926	
98.02	2.12273	
98.0175	2.11917	
98.015	2.1368	
98.0125	2.13276	
98.01	2.12888	
98.0075	2.12499	
98.005	2.12095	
98.0025	2.11707	
98	2.11399	
97.9975	2.11059	
97.995	2.12855	
97.9925	2.12483	
97.99	2.12062	
97.9875	2.13891	
97.985	2.13373	
97.9825	2.13066	
97.98	2.14829	
97.9775	2.1436	
97.975	2.16107	
97.9725	2.15703	
97.97	2.15298	
97.9675	2.16884	
97.965	2.16382	
97.9625	2.15929	
97.96	2.13389	
97.9575	2.15072	
97.955	2.14635	
97.9525	2.12127	
97.95	2.11723	
97.9475	2.11415	
97.945	2.13114	
97.9425	2.14845	
97.94	2.12386	
97.9375	2.11901	
97.935	2.11593	
97.9325	2.11108	
97.93	2.08713	
97.9275	2.0826	
97.925	2.07969	
97.9225	2.07694	
97.92	2.09587	
97.9175	2.09247	
97.915	2.09037	
97.9125	2.08713	
97.91	2.08406	
97.9075	2.10283	
97.905	2.09943	
97.9025	2.09668	
97.9	2.11464	
97.8975	2.13244	
97.895	2.10784	
97.8925	2.12532	
97.89	2.14328	
97.8875	2.13907	
97.885	2.13438	
97.8825	2.13146	
97.88	2.14861	
97.8775	2.16625	
97.875	2.20411	
97.8725	2.22061	
97.87	2.23614	
97.8675	2.22919	
97.865	2.24472	
97.8625	2.23857	
97.86	2.2321	
97.8575	2.20427	
97.855	2.21997	
97.8525	2.19246	
97.85	2.18696	
97.8475	2.16107	
97.845	2.17838	
97.8425	2.19392	
97.84	2.18842	
97.8375	2.16237	
97.835	2.17838	
97.8325	2.17305	
97.83	2.14764	
97.8275	2.16382	
97.825	2.15945	
97.8225	2.1546	
97.82	2.15153	
97.8175	2.18874	
97.815	2.18389	
