angle (°) - amplitude	amplitude (V) - amplitude	
30.6675	3.19348	
30.67	3.20885	
30.6725	3.20221	
30.675	3.19526	
30.6775	3.20933	
30.68	3.20286	
30.6825	3.17438	
30.685	3.1684	
30.6875	3.16193	
30.69	3.13588	
30.6925	3.12924	
30.695	3.12374	
30.6975	3.09802	
30.7	3.07148	
30.7025	3.06873	
30.705	3.04333	
30.7075	3.04026	
30.71	3.03621	
30.7125	3.01211	
30.715	2.988	
30.7175	2.98654	
30.72	3.00596	
30.7225	2.98266	
30.725	3.00094	
30.7275	2.97732	
30.73	2.95435	
30.7325	2.95337	
30.735	2.93137	
30.7375	2.90759	
30.74	2.9084	
30.7425	2.9736	
30.745	3.05805	
30.7475	3.09672	
30.75	3.11387	
30.7525	3.1307	
30.755	3.14704	
30.7575	3.14316	
30.76	3.13669	
30.7625	3.10999	
30.765	3.10433	
30.7675	3.12099	
30.77	3.11679	
30.7725	3.13394	
30.775	3.10675	
30.7775	3.10142	
30.78	3.07553	
30.7825	3.05061	
30.785	3.04657	
30.7875	3.04366	
30.79	3.04042	
30.7925	3.03767	
30.795	3.01275	
30.7975	2.98897	
30.8	2.98719	
30.8025	2.96357	
30.805	2.96243	
30.8075	2.9393	
30.81	2.93849	
30.8125	2.91665	
30.815	2.91632	
30.8175	2.89545	
30.82	2.8728	
30.8225	2.85242	
30.825	2.81003	
30.8275	2.8118	
30.83	2.8152	
30.8325	2.85953	
30.835	2.96891	
30.8375	3.05272	
30.84	3.04916	
30.8425	3.06776	
30.845	3.08459	
30.8475	3.06113	
30.85	3.07715	
30.8525	3.09462	
30.855	3.11242	
30.8575	3.10853	
30.86	3.12504	
30.8625	3.14105	
30.865	3.11452	
30.8675	3.10983	
30.87	3.12617	
30.8725	3.12164	
30.875	3.11727	
30.8775	3.11112	
30.88	3.10675	
30.8825	3.05967	
30.885	3.07747	
30.8875	3.11679	
30.89	3.13329	
30.8925	3.12827	
30.895	3.10174	
30.8975	3.09705	
30.9	3.09268	
30.9025	3.11015	
30.905	3.08524	
30.9075	3.10109	
30.91	3.11937	
30.9125	3.09333	
30.915	3.10999	
30.9175	3.10481	
30.92	3.07812	
30.9225	3.0744	
30.925	3.09235	
30.9275	3.13167	
30.93	3.1485	
30.9325	3.14235	
30.935	3.1375	
30.9375	3.13119	
30.94	3.14704	
30.9425	3.16338	
30.945	3.17924	
30.9475	3.17309	
30.95	3.16662	
30.9525	3.16063	
30.955	3.13329	
30.9575	3.10675	
30.96	3.06	
30.9625	3.05547	
30.965	3.05207	
30.9675	3.06987	
30.97	3.04576	
30.9725	3.04188	
30.975	3.01744	
30.9775	2.99253	
30.98	2.96939	
30.9825	2.94593	
30.985	2.94545	
30.9875	2.94512	
30.99	2.9016	
30.9925	2.9228	
30.995	2.92263	
30.9975	2.92312	
31	2.94334	
31.0025	2.96324	
31.005	2.94027	
31.0075	2.93946	
31.01	2.9393	
31.0125	2.93752	
31.015	2.93622	
31.0175	2.91584	
31.02	2.91406	
31.0225	2.91325	
31.025	2.91244	
31.0275	2.91212	
31.03	2.91244	
31.0325	2.91179	
31.035	2.89076	
31.0375	2.89173	
31.04	2.89076	
31.0425	2.87005	
31.045	2.84886	
31.0475	2.82863	
31.05	2.83025	
31.0525	2.78867	
31.055	2.77006	
31.0575	2.77281	
31.06	2.7754	
31.0625	2.77993	
31.065	2.80355	
31.0675	2.82734	
31.07	2.82879	
31.0725	2.83122	
31.075	2.81083	
31.0775	2.81294	
31.08	2.81472	
31.0825	2.81601	
31.085	2.81925	
31.0875	2.79935	
31.09	2.80113	
31.0925	2.80404	
31.095	2.80566	
31.0975	2.78657	
31.1	2.78899	
31.1025	2.79239	
31.105	2.81585	
31.1075	2.79627	
31.11	2.7987	
31.1125	2.77977	
31.115	2.78317	
31.1175	2.85031	
31.12	2.89367	
31.1225	2.91551	
31.125	2.91584	
31.1275	2.93622	
31.13	2.95726	
31.1325	2.93525	
31.135	2.97716	
31.1375	3.06226	
31.14	3.12164	
31.1425	3.18183	
31.145	3.21807	
31.1475	3.25544	
31.15	3.26774	
31.1525	3.28084	
31.155	3.29444	
31.1575	3.26369	
31.16	3.25544	
31.1625	3.20448	
31.165	3.19784	
31.1675	3.17115	
31.17	3.16322	
31.1725	3.18053	
31.175	3.17374	
31.1775	3.18878	
31.18	3.16209	
31.1825	3.15497	
31.185	3.17131	
31.1875	3.18814	
31.19	3.17989	
31.1925	3.15303	
31.195	3.14623	
31.1975	3.14251	
31.2	3.17924	
31.2025	3.17277	
31.205	3.16662	
31.2075	3.13895	
31.21	3.1561	
31.2125	3.10773	
31.215	3.12293	
31.2175	3.09786	
31.22	3.09333	
31.2225	3.08815	
31.225	3.06226	
31.2275	3.05951	
31.23	3.03362	
31.2325	3.00952	
31.235	3.05013	
31.2375	3.06825	
31.24	3.08605	
31.2425	3.08313	
31.245	3.09947	
31.2475	3.09575	
31.25	3.11226	
31.2525	3.12957	
31.255	3.12439	
31.2575	3.09786	
31.26	3.09365	
31.2625	3.08912	
31.265	3.06372	
31.2675	3.03945	
31.27	3.03637	
31.2725	3.05352	
31.275	3.07165	
31.2775	3.06922	
31.28	3.06469	
31.2825	3.03848	
31.285	3.01453	
31.2875	2.98994	
31.29	2.96632	
31.2925	2.96535	
31.295	2.9215	
31.2975	2.92004	
31.3	2.89869	
31.3025	2.89804	
31.305	2.89836	
31.3075	2.87717	
31.31	2.89917	
31.3125	2.89934	
31.315	2.89917	
31.3175	2.89966	
31.32	2.92085	
31.3225	2.8995	
31.325	2.90031	
31.3275	2.89982	
31.33	2.89853	
31.3325	2.87701	
31.335	2.89917	
31.3375	2.8995	
31.34	2.89917	
31.3425	2.87927	
31.345	2.92134	
31.3475	2.94253	
31.35	2.98476	
31.3525	3.00353	
31.355	2.97991	
31.3575	2.97764	
31.36	2.99787	
31.3625	3.03815	
31.365	3.03459	
31.3675	3.03233	
31.37	3.0731	
31.3725	3.06889	
31.375	3.06534	
31.3775	3.08249	
31.38	3.05692	
31.3825	3.03249	
31.385	3.03055	
31.3875	3.02602	
31.39	3.02392	
31.3925	3.04188	
31.395	3.01793	
31.3975	3.05822	
31.4	3.11824	
31.4025	3.13458	
31.405	3.1519	
31.4075	3.14688	
31.41	3.20399	
31.4125	3.21904	
31.415	3.21208	
31.4175	3.20577	
31.42	3.22066	
31.4225	3.21305	
31.425	3.22891	
31.4275	3.19882	
31.43	3.19251	
31.4325	3.16549	
31.435	3.15837	
31.4375	3.1519	
31.44	3.16872	
31.4425	3.14122	
31.445	3.17875	
31.4475	3.1726	
31.45	3.18798	
31.4525	3.18134	
31.455	3.17552	
31.4575	3.16969	
31.46	3.16306	
31.4625	3.15772	
31.465	3.13054	
31.4675	3.12552	
31.47	3.09915	
31.4725	3.07245	
31.475	3.09155	
31.4775	3.06517	
31.48	3.06145	
31.4825	3.05773	
31.485	3.0545	
31.4875	3.07213	
31.49	3.04721	
31.4925	3.02197	
31.495	3.01987	
31.4975	2.97376	
31.5	2.97279	
31.5025	2.92781	
31.505	2.927	
31.5075	2.92668	
31.51	2.90435	
31.5125	2.88396	
31.515	2.88445	
31.5175	2.86148	
31.52	2.86277	
31.5225	2.86358	
31.525	2.86439	
31.5275	2.84319	
31.53	2.84449	
31.5325	2.82442	
31.535	2.80533	
31.5375	2.78543	
31.54	2.8097	
31.5425	2.79174	
31.545	2.81423	
31.5475	2.81666	
31.55	2.86212	
31.5525	2.927	
31.555	2.97004	
31.5575	2.96777	
31.56	2.96696	
31.5625	2.96567	
31.565	2.96421	
31.5675	2.96211	
31.57	2.96114	
31.5725	2.91697	
31.575	2.93768	
31.5775	2.89481	
31.58	2.89448	
31.5825	2.91568	
31.585	2.89497	
31.5875	2.89497	
31.59	2.91697	
31.5925	2.93703	
31.595	2.93606	
31.5975	2.89286	
31.6	2.89222	
31.6025	2.84934	
31.605	2.82976	
31.6075	2.83057	
31.61	2.83219	
31.6125	2.81213	
31.615	2.79288	
31.6175	2.79498	
31.62	2.79773	
31.6225	2.77864	
31.625	2.7809	
31.6275	2.78284	
31.63	2.78624	
31.6325	2.76666	
31.635	2.79077	
31.6375	2.79546	
31.64	2.81779	
31.6425	2.84093	
31.645	2.82054	
31.6475	2.80129	
31.65	2.78203	
31.6525	2.78381	
31.655	2.78689	
31.6575	2.79012	
31.66	2.83462	
31.6625	2.85775	
31.665	2.85953	
31.6675	2.88138	
31.67	2.88219	
31.6725	2.88089	
31.675	2.86034	
31.6775	2.86164	
31.68	2.8406	
31.6825	2.82054	
31.685	2.82281	
31.6875	2.80388	
31.69	2.82588	
31.6925	2.82847	
31.695	2.82976	
